iter	Passed	Remaining
349	4031	7486
350	4042	7474
351	4054	7464
352	4065	7451
353	4076	7438
354	4088	7428
355	4100	7417
356	4110	7402
357	4121	7391
358	4134	7381
359	4143	7366
360	4156	7356
361	4166	7343
362	4176	7329
363	4189	7320
364	4200	7307
365	4210	7292
366	4221	7282
367	4232	7269
368	4243	7256
369	4256	7247
370	4267	7234
371	4276	7219
372	4288	7208
373	4299	7197
374	4309	7181
375	4321	7171
376	4332	7159
377	4342	7144
378	4354	7135
379	4367	7125
380	4376	7110
381	4387	7097
382	4397	7084
383	4408	7071
384	4419	7059
385	4429	7046
386	4440	7032
387	4452	7023
388	4463	7010
389	4473	6996
390	4484	6985
391	4496	6973
392	4506	6959
393	4518	6949
394	4530	6938
395	4539	6923
396	4551	6913
397	4564	6904
398	4575	6891
399	4585	6878
400	4596	6866
401	4605	6851
402	4617	6839
403	4628	6827
404	4637	6812
405	4648	6801
406	4662	6793
407	4674	6783
408	4685	6770
409	4696	6758
410	4709	6749
411	4719	6734
412	4730	6723
413	4742	6712
414	4752	6698
415	4765	6690
416	4776	6678
417	4786	6663
418	4797	6652
419	4809	6641
420	4818	6626
421	4829	6615
422	4841	6604
423	4850	6589
424	4862	6579
425	4874	6568
426	4884	6555
427	4897	6544
428	4909	6534
429	4922	6524
430	4932	6511
431	4944	6500
432	4957	6491
433	4968	6479
434	4980	6469
435	4992	6457
436	5003	6446
437	5012	6431
438	5024	6420
439	5034	6407
440	5047	6397
441	5060	6388
442	5073	6378
443	5083	6365
444	5094	6353
445	5106	6343
446	5116	6329
447	5127	6317
448	5139	6306
449	5149	6294
450	5161	6283
451	5173	6272
452	5182	6258
453	5194	6246
454	5207	6237
455	5222	6230
456	5232	6216
457	5244	6206
458	5256	6195
459	5267	6183
460	5277	6170
461	5290	6160
462	5302	6150
463	5312	6137
464	5324	6125
465	5336	6115
466	5346	6102
467	5358	6091
468	5373	6083
469	5384	6071
470	5394	6058
471	5406	6048
472	5419	6038
473	5428	6024
474	5440	6013
475	5452	6002
476	5462	5989
477	5474	5978
478	5487	5968
479	5499	5958
480	5509	5945
481	5521	5933
482	5534	5924
483	5547	5914
484	5557	5901
485	5568	5889
486	5577	5875
487	5590	5865
488	5602	5854
489	5613	5842
490	5624	5830
491	5636	5819
492	5647	5808
493	5657	5794
494	5668	5783
495	5680	5772
496	5691	5760
497	5703	5748
498	5714	5737
499	5725	5725
500	5738	5715
501	5750	5704
502	5762	5694
503	5773	5681
504	5784	5670
505	5798	5660
506	5808	5648
507	5819	5636
508	5831	5625
509	5840	5611
510	5851	5599
511	5863	5588
512	5873	5575
513	5885	5564
514	5898	5555
515	5908	5541
516	5919	5530
517	5933	5520
518	5944	5509
519	5953	5495
520	5965	5484
521	5977	5473
522	5987	5461
523	6000	5450
524	6011	5439
525	6020	5425
526	6033	5415
527	6045	5404
528	6055	5391
529	6068	5381
530	6081	5371
531	6094	5361
532	6104	5348
533	6116	5337
534	6130	5328
535	6142	5317
536	6153	5305
537	6165	5294
538	6177	5283
539	6186	5269
540	6198	5259
541	6210	5248
542	6224	5238
543	6233	5225
544	6245	5214
545	6257	5203
546	6268	5190
547	6279	5179
548	6292	5168
549	6301	5156
550	6314	5145
551	6328	5136
552	6340	5125
553	6350	5112
554	6363	5101
555	6374	5090
556	6384	5077
557	6396	5066
558	6408	5055
559	6418	5043
560	6431	5033
561	6443	5022
562	6455	5010
563	6465	4998
564	6477	4986
565	6489	4976
566	6499	4963
567	6510	4951
568	6523	4941
569	6532	4928
570	6544	4916
571	6556	4905
572	6565	4892
573	6577	4881
574	6590	4871
575	6600	4858
576	6610	4846
577	6623	4835
578	6632	4822
579	6643	4811
580	6655	4799
581	6664	4786
582	6676	4775
583	6689	4764
584	6699	4752
585	6712	4742
586	6724	4731
587	6737	4720
588	6747	4708
589	6759	4697
590	6770	4685
591	6780	4672
592	6791	4661
593	6803	4650
594	6813	4637
595	6825	4626
596	6837	4615
597	6847	4603
598	6860	4592
599	6871	4581
600	6885	4570
601	6894	4558
602	6906	4547
603	6919	4536
604	6929	4524
605	6942	4514
606	6954	4502
607	6966	4491
608	6977	4479
609	6989	4468
610	6999	4456
611	7008	4443
612	7020	4432
613	7033	4421
614	7053	4415
615	7065	4404
616	7076	4392
617	7091	4383
618	7105	4373
619	7118	4363
620	7131	4352
621	7143	4341
622	7156	4330
623	7170	4320
624	7183	4310
625	7193	4297
626	7205	4286
627	7220	4276
628	7232	4265
629	7244	4254
630	7259	4245
631	7271	4233
632	7284	4223
633	7293	4210
634	7306	4200
635	7320	4189
636	7332	4178
637	7343	4166
638	7357	4156
639	7369	4145
640	7383	4135
641	7393	4122
642	7405	4111
643	7418	4100
644	7430	4089
645	7440	4077
646	7451	4065
647	7465	4055
648	7475	4042
649	7486	4031
650	7501	4021
651	7515	4011
652	7524	3998
653	7537	3987
654	7550	3977
655	7564	3966
656	7577	3955
657	7588	3944
658	7600	3933
659	7613	3921
660	7622	3909
661	7634	3897
662	7652	3889
663	7666	3879
664	7678	3868
665	7688	3855
666	7699	3844
667	7712	3833
668	7721	3820
669	7733	3808
670	7745	3797
671	7754	3785
672	7767	3774
673	7780	3763
674	7793	3752
675	7802	3739
676	7814	3728
677	7826	3716
678	7835	3704
679	7847	3693
680	7858	3681
681	7868	3668
682	7880	3657
683	7893	3646
684	7908	3636
685	7917	3624
686	7928	3612
687	7940	3600
688	7950	3588
689	7962	3577
690	7974	3566
691	7984	3553
692	7997	3542
693	8008	3531
694	8018	3518
695	8029	3507
696	8043	3496
697	8056	3485
698	8067	3473
699	8080	3462
700	8093	3451
701	8107	3441
702	8118	3429
703	8131	3418
704	8144	3407
705	8155	3396
706	8165	3384
707	8179	3373
708	8192	3362
709	8205	3351
710	8216	3339
711	8229	3328
712	8241	3317
713	8253	3306
714	8263	3293
715	8277	3283
716	8289	3271
717	8302	3260
718	8314	3249
719	8327	3238
720	8340	3227
721	8351	3215
722	8364	3204
723	8379	3194
724	8393	3183
725	8408	3173
726	8422	3162
727	8431	3150
728	8445	3139
729	8457	3128
730	8472	3117
731	8483	3106
732	8493	3093
733	8507	3082
734	8518	3071
735	8529	3059
736	8541	3047
737	8553	3036
738	8567	3025
739	8578	3014
740	8591	3002
741	8605	2992
742	8621	2982
743	8635	2971
744	8646	2959
745	8658	2947
746	8671	2936
747	8686	2926
748	8702	2916
749	8711	2903
750	8723	2892
751	8738	2881
752	8750	2870
753	8761	2858
754	8773	2846
755	8786	2835
756	8800	2825
757	8813	2813
758	8827	2802
759	8842	2792
760	8856	2781
761	8870	2770
762	8883	2759
763	8895	2747
764	8906	2735
765	8918	2724
766	8930	2712
767	8939	2700
768	8952	2689
769	8964	2677
770	8975	2665
771	8988	2654
772	9001	2643
773	9014	2632
774	9031	2622
775	9042	2610
776	9056	2599
777	9072	2588
778	9087	2578
779	9102	2567
780	9116	2556
781	9130	2545
782	9142	2533
783	9155	2522
784	9170	2511
785	9183	2500
786	9197	2489
787	9211	2478
788	9223	2466
789	9237	2455
790	9251	2444
791	9265	2433
792	9277	2421
793	9288	2409
794	9302	2398
795	9313	2386
796	9328	2375
797	9337	2363
798	9349	2351
799	9364	2341
800	9377	2329
801	9386	2317
802	9400	2306
803	9412	2294
804	9427	2283
805	9436	2271
806	9450	2260
807	9466	2249
808	9480	2238
809	9493	2226
810	9503	2214
811	9514	2202
812	9527	2191
813	9538	2179
814	9548	2167
815	9594	2163
816	9611	2152
817	9632	2143
818	9645	2131
819	9659	2120
820	9671	2108
821	9682	2096
822	9694	2085
823	9706	2073
824	9716	2061
825	9728	2049
826	9740	2037
827	9750	2025
828	9763	2013
829	9777	2002
830	9790	1991
831	9800	1979
832	9811	1967
833	9824	1955
834	9834	1943
835	9846	1931
836	9858	1919
837	9875	1909
838	9888	1897
839	9899	1885
840	9913	1874
841	9929	1863
842	9944	1852
843	9955	1840
844	9965	1827
845	9976	1816
846	9989	1804
847	9999	1792
848	10011	1780
849	10024	1768
850	10033	1756
851	10043	1744
852	10054	1732
853	10065	1720
854	10080	1709
855	10096	1698
856	10109	1686
857	10123	1675
858	10139	1664
859	10154	1653
860	10168	1641
861	10180	1629
862	10193	1618
863	10208	1606
864	10220	1595
865	10230	1582
866	10241	1571
867	10252	1559
868	10262	1547
869	10273	1535
870	10285	1523
871	10295	1511
872	10308	1499
873	10321	1488
874	10334	1476
875	10343	1464
876	10354	1452
877	10367	1440
878	10378	1428
879	10392	1417
880	10406	1405
881	10420	1394
882	10433	1382
883	10443	1370
884	10455	1358
885	10468	1346
886	10481	1335
887	10491	1323
888	10505	1311
889	10520	1300
890	10534	1288
891	10546	1276
892	10557	1265
893	10570	1253
894	10584	1241
895	10596	1230
896	10608	1218
897	10621	1206
898	10634	1194
899	10646	1182
900	10657	1171
901	10670	1159
902	10683	1147
903	10694	1135
904	10704	1123
905	10717	1111
906	10730	1100
907	10741	1088
908	10753	1076
909	10765	1064
910	10774	1052
911	10785	1040
912	10797	1028
913	10807	1016
914	10818	1005
915	10832	993
916	10846	981
917	10856	969
918	10869	958
919	10883	946
920	10895	934
921	10906	922
922	10919	910
923	10932	899
924	10947	887
925	10960	875
926	10971	863
927	10985	852
928	10997	840
929	11012	828
930	11025	817
931	11035	805
932	11050	793
933	11064	781
934	11076	770
935	11086	758
936	11098	746
937	11111	734
938	11124	722
939	11135	710
940	11149	699
941	11162	687
942	11176	675
943	11190	663
944	11209	652
945	11220	640
946	11233	628
947	11245	616
948	11264	605
949	11277	593
950	11286	581
951	11297	569
952	11309	557
953	11318	545
954	11329	533
955	11342	522
956	11366	510
957	11383	499
958	11405	487
959	11445	476
960	11466	465
961	11484	453
962	11499	441
963	11521	430
964	11542	418
965	11558	406
966	11572	394
967	11582	382
968	11593	370
969	11607	358
970	11616	346
971	11631	335
972	11646	323
973	11661	311
974	11679	299
975	11693	287
976	11707	275
977	11724	263
978	11738	251
979	11753	239
980	11770	227
981	11786	216
982	11802	204
983	11813	192
984	11825	180
985	11841	168
986	11855	156
987	11869	144
988	11881	132
989	11893	120
990	11904	108
991	11914	96
992	11926	84
993	11938	72
994	11949	60
995	11960	48
996	11972	36
997	11983	24
998	11995	12
999	12019	0
